2801180152	⳿ⲉⲧⲁϥⲧⲱⲛϥ ⲇⲉ ⳿ⲛϫⲉ Ⲓⲱⲥⲏⲫ ⳿ⲉⲃⲟⲗϧⲉⲛ ⲡⲓⲉⲛⲕⲟⲧ ⲁϥ⳿⳿ⲓⲣⲓ ⲕⲁⲧⲁ ⳿ⲫⲣⲏϯ ⳿ⲉⲧⲁ ⲡⲓⲁⲅⲅⲉⲗⲟⲥ ⳿ⲛⲧⲉ Ⲡ⳪ ⲟⲩⲁϩⲥⲁϩⲛⲓ ⲛⲁϥ ⲟⲩⲟϩ ⲁϥϣⲉⲡ Ⲙⲁⲣⲓ⳿ⲁ ⲧⲉϥ⳿ⲥϩⲓⲙⲓ ⳿ⲉⲣⲟϥ.
28011900a8	ⲟⲩⲟϩ ⳿ⲙⲡⲉϥⲥⲟⲩⲱⲛⲥ ϣⲁⲧⲉⲥⲙⲓⲥⲓ ⳿ⲙⲡⲓϣⲏⲣⲓ ⲟⲩⲟϩ ⲁϥⲙⲟⲩϯ ⳿ⲉⲡⲉϥⲣⲁⲛ ϫⲉ Ⲓⲏ̅ⲥ̅
2802010164	Ⲓⲏ̅ⲥ̅ ⲇⲉ ⳿ⲉⲧⲁⲩⲙⲁⲥϥ ϧⲉⲛ Ⲃⲏⲑⲗⲉⲉⲙ ⳿ⲛⲧⲉ ϯⲒⲟⲩⲇⲉ⳿ⲁ ϧⲉⲛ ⲛⲓ⳿ⲉϩⲟⲟⲩ ⳿ⲛⲧⲉ Ⲏ̇ⲣⲱⲇⲏⲥ ⳿ⲡⲟⲩⲣⲟ ϩⲏⲡⲡⲉ ⲓⲥ ϩⲁⲛⲙⲁⲅⲟⲥ ⲁⲩ⳿ⲓ ⳿ⲉⲃⲟⲗ ⲥⲁ ⲡⲉⲓⲉⲃⲧ ⳿ⲉⲒⲗ̅ⲏ̅ⲙ̅ ⲉⲩϫⲱ ⳿ⲙⲙⲟⲥ.
2802020109	ϫⲉ ⲁϥⲑⲱⲛ ⲫⲏ⳿ⲉⲧⲁⲩⲙⲁⲥϥ ⳿ⲡⲟⲩⲣⲟ ⳿ⲛⲧⲉ ⲛⲓⲒⲟⲩⲇⲁⲓ Ⲁⲛⲛⲁⲩ ⲅⲁⲣ ⳿ⲉⲡⲉϥⲥⲓⲟⲩ ⲥⲁⲡⲉⲓⲉⲃⲧ ⲟⲩⲟϩ ⲁⲛ⳿ⲓ ϫⲉ ⳿ⲛⲧⲉⲛⲟⲩⲱϣⲧ ⳿ⲙⲙⲟϥ.
28020300af	⳿ⲉⲧⲁϥⲥⲱⲧⲉⲙ ⲇⲉ ⳿ⲛϫⲉ ⳿ⲡⲟⲩⲣⲟ Ⲏ̇ⲣⲱⲇⲏⲥ ⲁϥ⳿ϣⲑⲟⲣⲧⲉⲣ ⲛⲉⲙ Ⲓⲗ̅ⲏ̅ⲙ̅ ⲧⲏⲣⲥ ⲛⲉⲙⲁϥ.
28020400fe	ⲟⲩⲟϩ ⳿ⲉⲧⲁϥⲑⲱⲟⲩϯ ⳿ⲛⲛⲓⲁⲣⲭⲏⲉⲣⲉⲩⲥ ⲧⲏⲣⲟⲩ ⲛⲉⲙ ⲛⲓⲥⲁϧ ⳿ⲛⲧⲉ ⲡⲓⲗⲁⲟⲥ ⲛⲁϥϣⲓⲛⲓ ⳿ⲛⲧⲟⲧⲟⲩ ϫⲉ ⲁⲩⲛⲁⲙⲉⲥ Ⲡⲭ̅ⲥ̅ ⳿ⲛⲑⲱⲛ.
28020500fe	⳿ⲛⲑⲱⲟⲩ ⲇⲉ ⲡⲉϫⲱⲟⲩ ⲛⲁϥ ϫⲉ ϧⲉⲛ Ⲃⲏⲑⲗⲉⲉⲙ ⳿ⲛⲧⲉ ϯⲒⲟⲩⲇⲉ⳿ⲁ ⲡⲁⲓⲣⲏϯ ⲅⲁⲣ ⲉⲧ⳿ⲥϧⲏⲟⲩⲧ ⳿ⲉⲃⲟⲗϩⲓⲧⲟⲧϥ ⳿ⲙⲡⲓ⳿ⲡⲣⲟⲫⲏⲧⲏⲥ.
2802060191	ϫⲉ ⲛⲉⲙ ⳿ⲛⲑⲟ ϩⲱⲓ Ⲃⲏⲑⲗⲉⲉⲙ ⳿ⲡⲕⲁϩⲓ ⳿ⲛⲒⲟⲩⲇⲁ ⳿ⲛⲑⲟ ⲟⲩⲕⲟⲩϫⲓ ⲁⲛ ϧⲉⲛ ⲛⲓⲙⲉⲧϩⲏⲅⲉⲙⲱⲛ ⳿ⲛⲧⲉ Ⲓⲟⲩⲇⲁ ⲉϥ⳿ⲉ⳿ⲓ ⲅⲁⲣ ⳿ⲉⲃⲟⲗ⳿ⲛϧⲏϯ ⳿ⲛϫⲉ ⲟⲩϩⲏⲅⲟⲩⲙⲉⲛⲟⲥ ⲫⲏⲉⲑⲛⲁ⳿ⲁⲙⲟⲛⲓ ⳿ⲙⲡⲁⲗⲁⲟⲥ Ⲡⲓ̅ⲥ̅ⲗ̅.
28020700e8	ⲧⲟⲧⲉ Ⲏ̇ⲣⲱⲇⲏⲥ ⲁϥⲙⲟⲩϯ ⳿ⲉⲛⲓⲙⲁⲅⲟⲥ ⳿ⲛⲭⲱⲡ ⲁϥϧⲟⲧϧⲉⲧ ⳿ⲛⲧⲟⲧⲟⲩ ⳿ⲛⲥⲁ ⲡⲓⲥⲏⲟⲩ ⳿ⲛⲧⲉ ⲡⲓⲥⲓⲟⲩ ⳿ⲉⲧⲁϥⲟⲩⲱⲛϩ.
2802080162	ⲟⲩⲟϩ ⲁϥⲟⲩⲟⲣⲡⲟⲩ ⳿ⲉⲂⲏⲑⲗⲉⲉⲙ ⲉϥϫⲱ ⳿ⲙⲙⲟⲥ ϫⲉ ⲙⲁϣⲉⲛⲱⲧⲉⲛ ϣⲓⲛⲓ ⲁⲕⲣⲓⲃⲱⲥ ⲉⲑⲃⲉ ⲡⲓ⳿ⲁⲗⲟⲩ ⳿ⲉϣⲱⲡ ⲇⲉ ⳿ⲛⲧⲉⲧⲉ⳿ⲛϫⲉⲙϥ ⲙⲁⲧⲁⲙⲟⲓ ϩⲓⲛⲁ ⳿ⲛⲧⲁ⳿ⲓ ϩⲱ ⳿ⲛⲧⲁⲟⲩⲱϣⲧ ⳿ⲙⲙⲟϥ.
28020901ba	⳿ⲛⲑⲱⲟⲩ ⲇⲉ ⳿ⲉⲧⲁⲩⲥⲱⲧⲉⲙ ⳿ⲛⲥⲁ ⳿ⲡⲟⲩⲣⲟ ⲁⲩϣⲉⲛⲱⲟⲩ ⲟⲩⲟϩ ϩⲏⲡⲡⲉ ⲓⲥ ⲡⲓⲥⲓⲟⲩ ⲫⲏ⳿ⲉⲧⲁⲩⲛⲁⲩ ⳿ⲉⲣⲟϥ ⲥⲁ ⲡⲉⲓⲉⲃⲧ ⲛⲁϥⲙⲟϣⲓ ϧⲁϫⲱⲟⲩ ϣⲁⲧⲉϥ⳿ⲓ ⳿ⲛⲧⲉϥ⳿ⲟϩⲓ ⳿ⲉⲣⲁⲧϥ ⲥⲁ⳿ⲡϣⲱⲓ ⳿ⲙⲡⲓⲙⲁ ⳿ⲉⲛⲁⲣⲉ ⲡⲓ⳿ⲁⲗⲟⲩ ⲭⲏ ⳿ⲙⲙⲟϥ.
28020a0089	⳿ⲉⲧⲁⲩⲛⲁⲩ ⲇⲉ ⳿ⲉⲡⲓⲥⲓⲟⲩ ⲁⲩⲣⲁϣⲓ ϧⲉⲛ ⲟⲩⲛⲓϣϯ ⳿ⲛⲣⲁϣⲓ ⳿ⲉⲙⲁϣⲱ.
28020b01c5	ⲟⲩⲟϩ ⳿ⲉⲧⲁⲩ⳿ⲓ ⳿ⲉⲡⲓⲏⲓ ⲁⲩⲛⲁⲩ ⳿ⲉⲡⲓ⳿ⲁⲗⲟⲩ ⲛⲉⲙ Ⲙⲁⲣⲓ⳿ⲁ ⲧⲉϥⲙⲁⲩ ⲟⲩⲟϩ ⳿ⲉⲧⲁⲩϩⲓⲧⲟⲩ ⳿ⲉ⳿ϧⲣⲏⲓ ⲁⲩⲟⲩⲱϣⲧ ⳿ⲙⲙⲟϥ ⲟⲩⲟϩ ⳿ⲉⲧⲁⲩⲟⲩⲱⲛ ⳿ⲛⲛⲟⲩ⳿ⲁϩⲱⲣ ⲁⲩ⳿ⲓⲛⲓ ⲛⲁϥ ⳿ⲛϩⲁⲛⲇⲱⲣⲟⲛ ⲟⲩⲛⲟⲩⲃ ⲛⲉⲙ ⲟⲩⲗⲓⲃⲁⲛⲟⲥ ⲛⲉⲙ ⲟⲩϣⲁⲗ.
28020c00f7	ⲟⲩⲟϩ ⳿ⲉⲧⲁⲩⲧⲁⲙⲱⲟⲩ ϧⲉⲛ ⲟⲩⲣⲁⲥⲟⲩ⳿ⲓ ⳿ⲉ⳿ϣⲧⲉⲙⲕⲟⲧⲟⲩ ϩⲁ Ⲏ̇ⲣⲱⲇⲏⲥ ⳿ⲉⲃⲟⲗϩⲓⲧⲉⲛ ⲕⲉⲙⲱⲓⲧ ⲁⲩϣⲉⲛⲱⲟⲩ ⳿ⲉⲧⲟⲩⲭⲱⲣⲁ.
28020d0220	⳿ⲉⲧⲁⲩϣⲉⲛⲱⲟⲩ ⲇⲉ ϩⲏⲡⲡⲉ ⲓⲥ ⲟⲩⲁⲅⲅⲉⲗⲟⲥ ⳿ⲛⲧⲉ Ⲡ⳪ ⲁϥⲟⲩⲟⲛϩϥ ⳿ⲉⲒⲱⲥⲏⲫ ϧⲉⲛ ⲟⲩⲣⲁⲥⲟⲩ⳿ⲓ ⲉϥϫⲱ ⳿ⲙⲙⲟⲥ ϫⲉ ⲧⲱⲛⲕ ⳿ⲁⲗⲓⲟⲩ⳿ⲓ ⳿ⲙⲡⲓ⳿ⲁⲗⲟⲩ ⲛⲉⲙ ⲧⲉϥⲙⲁⲩ ⲟⲩⲟϩ ⲫⲱⲧ ⳿ⲉⲬⲏⲙⲓ ⲟⲩⲟϩ ϣⲱⲡⲓ ⳿ⲙⲙⲁⲩ ϣⲁϯϫⲟⲥ ⲛⲁⲕ ⳿ϥⲛⲁⲕⲱϯ ⲅⲁⲣ ⳿ⲛϫⲉ Ⲏ̇ⲣⲱⲇⲏⲥ ⳿ⲛⲥⲁ ⲡⲓ⳿ⲁⲗⲟⲩ ⳿ⲉⲧⲁⲕⲟϥ.
28020e00ad	⳿ⲛⲑⲟϥ ⲇⲉ ⲁϥⲧⲱⲛϥ ⲁϥϭⲓ ⳿ⲙⲡⲓ⳿ⲁⲗⲟⲩ ⲛⲉⲙ ⲧⲉϥⲙⲁⲩ ⳿ⲛϫⲱⲣϩ ⲟⲩⲟϩ ⲁϥϣⲉⲛⲁϥ ⳿ⲉⲬⲏⲙⲓ.
28020f017f	ⲟⲩⲟϩ ⲛⲁϥⲭⲏ ⳿ⲙⲙⲁⲩ ⲡⲉ ϣⲁ ⳿ⲧϧⲁ⳿ⲉ ⳿ⲛⲎ̇ⲣⲱⲇⲏⲥ ϩⲓⲛⲁ ⳿ⲛⲧⲉϥϫⲱⲕ ⳿ⲉⲃⲟⲗ ⳿ⲛϫⲉ ⲫⲏ⳿ⲉⲧⲁ Ⲡ⳪ ϫⲟϥ ⳿ⲉⲃⲟⲗϩⲓⲧⲟⲧϥ ⳿ⲙⲡⲓ⳿ⲡⲣⲟⲫⲏⲧⲏⲥ ⲉϥϫⲱ ⳿ⲙⲙⲟⲥ ϫⲉ ⲁⲓⲙⲟⲩϯ ⳿ⲉⲡⲁϣⲏⲣⲓ ⳿ⲉⲃⲟⲗϧⲉⲛ ⲭⲏ ⲙⲓ.
2802100227	ⲧⲟⲧⲉ Ⲏ̇ⲣⲱⲇⲏⲥ ⳿ⲉⲧⲁϥⲛⲁⲩ ϫⲉ ⲁⲩⲥⲱⲃⲓ ⳿ⲙⲙⲟϥ ⳿ⲛϫⲉ ⲛⲓⲙⲁⲅⲟⲥ ⲁϥ⳿ⲙⲃⲟⲛ ⳿ⲉⲙⲁϣⲱ ⲟⲩⲟϩ ⲁϥⲟⲩⲱⲣⲡ ⲁϥϧⲱⲧⲉⲃ ⳿ⲛ⳿ⲁⲗⲟⲩ ⲛⲓⲃⲉⲛ ⲉⲧϧⲉⲛ Ⲃⲏⲑⲗⲉⲉⲙ ⲛⲉⲙ ϧⲉⲛ ⲛⲉⲥϭⲓ⳿ⲏ ⲧⲏⲣⲟⲩ ⲓⲥϫⲉⲛ ⲣⲟⲙⲡⲓ ⳿ⲥⲛⲟⲩϯ ⲛⲉⲙ ⲥⲁⲡⲉⲥⲏⲧ ⲕⲁⲧⲁ ⲡⲓⲥⲏⲟⲩ ⳿ⲉⲧⲁϥϧⲉⲧϧⲱⲧϥ ⳿ⲛⲧⲟⲧⲟⲩ ⳿ⲛⲛⲓⲙⲁⲅⲟⲥ.
28021100cf	ⲧⲟⲧⲉ ⲁϥϫⲱⲕ ⳿ⲉⲃⲟⲗ ⳿ⲛϫⲉ ⲫⲏ⳿ⲉⲧⲁϥϫⲟϥ ⳿ⲉⲃⲟⲗϩⲓⲧⲟⲧϥ ⳿ⲛⲒⲉⲣⲉⲙⲓⲁⲥ ⲡⲓ⳿ⲡⲣⲟⲫⲏⲧⲏⲥ ⲉϥϫⲱ ⳿ⲙⲙⲟⲥ.
