2802010155	ⲓⲏⲥ ⲇⲉ ⲛⲧⲉⲣⲟⲩϫⲡⲟϥ ϩⲣⲁⲓ ϩⲛ ⲃⲏⲑⲗⲉⲉⲙ ⲛⲧⲉ ϯⲟⲩⲇⲁⲓⲁ ϩⲛ ⲛⲉϩⲟⲟⲩ ⲛϩⲏⲣⲱⲇⲏⲥ ⲡⲣⲣⲟ ⲉⲓⲥ ϩⲉⲛⲙⲁⲅⲟⲥ ⲁⲩⲉⲓ ⲉⲃⲟⲗ ϩⲛ ⲛⲉⲙⲁⲛϣⲁ ⲉϩⲣⲁⲓ ⲉⲑⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ ⲉⲩϫⲱ ⲙⲙⲟⲥ
28020200c6	ϫⲉ ⲉϥⲧⲱⲛ ⲡⲣⲣⲟ ⲛⲛⲓⲟⲩⲇⲁⲓ ⲛⲧⲁⲩϫⲡⲟϥ ⲁⲛⲛⲁⲩ ⲅⲁⲣ ⲉⲡⲉϥⲥⲓⲟⲩ ϩⲛ ⲛⲉⲙⲁⲛϣⲁ ⲁⲛⲉⲓ ⲉⲟⲩⲱϣⲧ ⲛⲁϥ
28020300af	ⲁϥⲥⲱⲧⲙ ⲇⲉ ⲛϭⲓ ϩⲏⲣⲱⲇⲏⲥ ⲡⲣⲣⲟ ⲁϥϣⲧⲟⲣⲧⲣ ⲉⲙⲁⲧⲉ ⲙⲛ ⲑⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ ⲧⲏⲣⲥ ⲛⲙⲙⲁϥ
28020400fe	ⲁϥⲥⲱⲟⲩϩ ⲉϩⲟⲩⲛ ⲛⲛⲁⲣⲭⲓⲉⲣⲉⲩⲥ ⲧⲏⲣⲟⲩ ⲙⲛ ⲛⲉⲅⲣⲁⲙⲙⲁⲧⲉⲩⲥ ⲙⲡⲗⲁⲟⲥ ⲁϥϣⲓⲛⲉ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧⲟⲩ ϫⲉ ⲉⲩⲛⲁϫⲡⲟ ⲙⲡⲉⲭⲥ ⲧⲱⲛ
28020500cf	ⲛⲧⲟⲟⲩ ⲇⲉ ⲡⲉϫⲁⲩ ⲛⲁϥ ϫⲉ ϩⲣⲁⲓ ϩⲛ ⲃⲏⲑⲗⲉⲉⲙ ⲛⲧⲉϯⲟⲩⲇⲁⲓⲁ ⲉϥⲥⲏϩ ⲅⲁⲣ ⲛⲧⲉⲓϩⲉ ϩⲓⲧⲙ ⲡⲉⲡⲣⲟⲫⲏⲧⲏⲥ
2802060150	ϫⲉ ⲛⲧⲟ ϩⲱⲱⲧⲉ ⲃⲏⲑⲗⲉⲉⲙ ⲡⲕⲁϩ ⲛⲓⲟⲩⲇⲁ ⲛⲧⲉϫⲟⲗϩ ⲁⲛ ϩⲛ ⲛϩⲏⲅⲉⲙⲱⲛ ⲛⲓⲟⲩⲇⲁ ϥⲛⲏⲩ ⲅⲁⲣ ⲉⲃⲟⲗ ⲛϩⲏⲧⲉ ⲛϭⲓ ⲟⲩϩⲏⲅⲟⲩⲙⲉⲛⲟⲥ ⲡⲁⲓ ⲉⲧⲛⲁⲙⲟⲟⲛⲉ ⲙⲡⲁⲗⲁⲟⲥ ⲡⲓⲥⲣⲁⲏⲗ
28020700ec	ⲧⲟⲧⲉ ϩⲏⲣⲱⲇⲏⲥ ⲁϥⲙⲟⲩⲧⲉ ⲉⲙⲙⲁⲅⲟⲥ ⲛϫⲓⲟⲩⲉ ⲁϥϣⲓⲛⲉ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧⲟⲩ ⲛⲥⲁⲡⲉⲩⲟⲉⲓϣ ⲙⲡⲥⲓⲟⲩ ⲛⲧⲁϥⲟⲩⲱⲛϩ ⲉⲃⲟⲗ
2802080156	ⲁϥϫⲟⲟⲥⲉ ⲉϩⲣⲁⲓ ⲉⲃⲏⲑⲗⲉⲉⲙ ⲉϥϫⲱ ⲙⲙⲟⲥ ϫⲉ ⲃⲱⲕ ⲛⲧⲉⲧⲛϣⲓⲛⲉ ϩⲛ ⲟⲩⲱⲣϫ ⲉⲧⲃⲉ ⲡϣⲏⲣⲉ ϣⲏⲙ ⲉϣⲱⲡⲉ ⲇⲉ ⲉⲧⲉⲧⲛϣⲁⲛϩⲉ ⲉⲣⲟϥ ⲙⲁⲧⲁⲙⲙⲟⲓ ϩⲱ ϫⲉⲕⲁⲥ ⲉⲓⲉⲉⲓ ⲛⲧⲁⲟⲩⲱϣⲧ ⲛⲁϥ
2802090167	ⲛⲧⲟⲟⲩ ⲇⲉ ⲛⲧⲉⲣⲟⲩⲥⲱⲧⲙ ⲉⲃⲟⲗ ϩⲓⲧⲙ ⲡⲣⲣⲟ ⲁⲩⲃⲱⲕ ⲁⲩⲱ ⲉⲓⲥ ⲡⲥⲓⲟⲩ ⲛⲧⲁⲩⲛⲁⲩ ⲉⲣⲟϥ ϩⲛ ⲛⲉⲙⲁⲛϣⲁ ⲁϥⲙⲟⲟϣⲉ ϩⲏⲧⲟⲩ ϣⲁⲛⲧⲉϥⲉⲓ ⲛϥⲁϩⲉⲣⲁⲧϥ ⲉϫⲙ ⲡⲙⲁ ⲉⲛⲉⲣⲉⲡϣⲏⲣⲉ ϣⲏⲙ ⲛϩⲏⲧϥ
28020a0074	ⲛⲧⲉⲣⲟⲩⲛⲁⲩ ⲉⲡⲥⲓⲟⲩ ⲁⲩⲣⲁϣⲉ ϩⲛ ⲟⲩⲛⲟϭ ⲛⲣⲁϣⲉ ⲉⲙⲁⲧⲉ
28020b017c	ⲁⲩⲱ ⲛⲧⲉⲣⲟⲩⲉⲓ ⲉϩⲣⲁⲓ ⲉⲡⲏⲓ ⲁⲩⲛⲁⲩ ⲉⲡϣⲏⲣⲉ ϣⲏⲙ ⲙⲛ ⲙⲁⲣⲓⲁ ⲧⲉϥⲙⲁⲁⲩ ⲁⲩⲡⲁϩⲧⲟⲩ ⲁⲩⲟⲩⲱϣⲧ ⲛⲁϥ ⲁⲩⲟⲩⲱⲛ ⲛⲛⲉⲩⲁϩⲱⲱⲣ ⲁⲩⲉⲓⲛⲉ ⲛⲁϥ ⲛϩⲉⲛⲇⲱⲣⲟⲛ ⲟⲩⲛⲟⲩⲃ ⲙⲛ ⲟⲩⲗⲓⲃⲁⲛⲟⲥ ⲙⲛ ⲟⲩϣⲁⲗ
28020c00f6	ⲁⲩⲧⲟⲩⲛⲉⲓⲁⲧⲟⲩ ⲇⲉ ⲉⲃⲟⲗ ϩⲛ ⲟⲩⲣⲁⲥⲟⲩ ⲉⲧⲙⲕⲟⲧⲟⲩ ϣⲁϩⲏⲣⲱⲇⲏⲥ ⲉⲃⲟⲗ ϩⲓⲧⲛ ⲕⲉϩⲓⲏ ⲁⲩⲁⲛⲁⲭⲱⲣⲉⲓ ⲉϩⲣⲁⲓ ⲉⲧⲉⲩⲭⲟⲣⲁ
28020d0203	ⲛⲧⲉⲣⲟⲩⲃⲱⲕ ⲇⲉ ⲉⲓⲥ ⲡⲁⲅⲅⲉⲗⲟⲥ ⲙⲡϫⲟⲉⲓⲥ ⲁϥⲟⲩⲱⲛϩ ⲉⲃⲟⲗ ϩⲛ ⲟⲩⲣⲁⲥⲟⲩ ⲉⲓⲱⲥⲏⲫ ⲉϥϫⲱ ⲙⲙⲟⲥ ϫⲉ ⲧⲱⲟⲩⲛ ⲛⲅϫⲓ ⲙⲡϣⲏⲣⲉ ϣⲏⲙ ⲙⲛ ⲧⲉϥⲙⲁⲁⲩ ⲛⲅⲃⲱⲕ ⲉϩⲣⲁⲓ ⲉⲕⲏⲙⲉ ⲛⲅϣⲱⲡⲉ ϩⲙ ⲡⲙⲁ ⲉⲧⲙⲙⲁⲩ ϣⲁⲛϯϫⲟⲟⲥ ⲛⲁⲕ ϩⲏⲣⲱⲇⲏⲥ ⲅⲁⲣ ⲛⲁϣⲓⲛⲉ ⲛⲥⲁⲡϣⲏⲣⲉ ϣⲏⲙ ⲉⲧⲁⲕⲟϥ
28020e00a9	ⲛⲧⲟϥ ⲇⲉ ⲁϥⲧⲱⲟⲩⲛ ⲁϥϫⲓ ⲙⲡϣⲏⲣⲉ ϣⲏⲙ ⲙⲛ ⲧⲉϥⲙⲁⲁⲩ ⲛⲧⲉⲩϣⲏ ⲁϥⲃⲱⲕ ⲉϩⲣⲁⲓ ⲉⲕⲏⲙⲉ
