3a0000000b	aBiraniyawa
3a030c0093	Gbənken a inay, aruwanke ham, kate bigi ne aməmo keye ure bore araa ne uzira wo une wo iruwa sa ⁺uhangareko ⁺ujese udafe wo Ashini bore uray.
3a030d00c9	Ama sa iniyaze aciye haye ugaso wo iruwa kuwede uje uweng, sa iyane nituma ne kuwede aje agaba sa ꞊agaase ana a yenəy wərike kate bigi ne aməmo haye ucuge ne unyif wərike kiriyange ke apuwa araa.
3a030e0066	Haro ticiye apuwa nidii ne aməmo ke Animasihu ka ꞊tipiti apuwa sa ˂kitikpaa ne uciba, niya umanne.
3a030f0088	Tantaasa ⁺akuna, “Yenəy, ka ⁺igofe niviyaw newo, kate iyane unyif wo iruwa tantaasa ˂ikiyane agabaa sa ˂ikigaa-ye udafe wom.”
3a03100070	A aje zeno ˂akagofe hane ⁺agaa-ha udafe woo? Haza unaafase wo haremay sa Mosa ˂ukudafe ne ha nikaane uMasar?
3a0311007d	A ne aje ˂ukukuri ⁺uyane ukara ne tinay akuri anaaze? Haza a ne haremay sa ˂akayane apuwa araa, hane ⁺angməəze ndare?
3a0312006c	A aje Ashini ˂ukutuna a aza anugi-ha ne aməmo nivankanzo newo, ka haza haremay sa ˂akayane ugbara wo ato?
3a03130052	Wərike nongo ⁺tinay ˂akadaake aciye unugi, wərike uzira wo une wo iruwa yeha.
3a0401008d	Nikəwəri ne unugi wo nivanzanko newo nidaa ne, wərike nongo sa tiyane nnoo wərike kate aciye bigi ne aməmo haye sa uta ukəri-wo unugiw.
3a040200b1	Wərike haro maa ˂akabiyare haro Anaza Aniyamtoha tantaasa hamaa ˂akagofe, ama anazaa ˂akacuge mbenne keha, wərike haremay sa ˂akagofe ˂akadaake akpaa ana ne une wo iruwa.
