3a0000000b	aBiraniyawa
3a09040118	sa aciye aninka ha uniyaze wo Ashini apuwa ha nipabe ha nhiya, ne akpaati ha nikəwəri sa ⁺awəfi ne azinariya. Ne aməmo akpaati ha nikəwərinu, aciye ukuwano wo azinariya ne mmanna ne aməmo, a ubinda wo Aruuna sa ˂ukutiiru ne nva, ne ataane ariya ha idiyana ye nikəwəri.
3a090500a1	Ashini ne akpaatiha nceribum me umənu nkire ne, ꞊nwooze uwunu ne ayaaraa sa Ashini ꞊uviyaze apuwa araa. Ama tizatiyiyamedo unaza wo apuwa haye duki saanuwa.
3a0906007e	Ka ⁺amuwe urunda wo kuwede yina nongo, mpiris ꞊akanugizi ne aməmo upang wo uciba kuwede uje uweng, ꞊ayanze nituma neha.
3a090700bf	Ama a borewono wo mpiris cas ꞊ukunugi ne upang wo uriya, ꞊unugizi nidii cas nnenay. Uza unugi-wo shere mgba sa uta une wərike apuwa araa sa ⁺uyane, ne ha agana sa ⁺ayane shere uriya.
3a09080099	Anongo Bidiri Bisanobo ꞊ukudonkize ukuna uwunda wo unugi ne Ayaaraa sa Amaane Nsano, ˂akadaa akate adonke una, wərike uTenti wo uciba ˂ukudaa utore.
3a09090093	Hay a wərike udonke wo agana ha aye hay, ukuna uniyaze ne kiwaa ke binama wərike ane Ashini, aza aptyize-ha iruwa ye bore uyane wo Ashini nituma.
3a090a0081	Hay a anaza ha apuniya ne usuwa, a biptyize muwa-muwa, hay a apuwa ha nnang ha nipum, sa ata ayane niya agabaa ha uduwaka usawoo.
3a090b00b7	Sa Animasihu ˂ukuye saa Borewono wo mPiris me apuwa anowa sa are baazee, ˂ukunugi ne aməmo uTenti sa umaane umənu ne unoo, wee sa haza bigana ⁺uyane, haza wo upang wo inang yee.
3a090c0096	˂Ukudaake unugi ne mgba me imande baa me nrəku, ama ˂ukunugi Ayaaraa sa Amaane Nsano nidii cas ne mgba mawo sa ⁺une haro nivuwange shere umuwene.
3a090d0082	Mgba me imande ne inaa a ntuwa me nrəku sa ꞊akangmiskizi haremay sa aciye tiriyeru, ꞊nkiwone-ha acuge shere tiriyeru ne apum.
3a090e00d9	Ka acuge nongo, ataana ata are ne mgba me Animasihu? Wo, sa ne aməmo Bidiri bo uzira wo umuwe, ⁺une niciye newo shere araa ke Ashini, ⁺uptyize iruwa yooro ye nituma ningməninenu, wərike tirumi Ashini bore uray.
3a090f0137	Wərike nongo, Animasihu a wo ˃utore ne ntitay me agana ne Ashini ne aməmo nikəwəri nisawno, wərike haremay sa ˂akagaaseke-ha, ata aciye ukpaa wo upase wo Ashini wo uzira wo umuwene sa ˂ukukone a uta uyane-ha. ⁺Ungməne wərike uyane nivuwange ne haremay sa ˂akayane apuwa araa ne nikəwəri ne uciba.
3a09100080	Ka ⁺ayane nikəwəri ne awaasa uta une apuwa sa are ha bigi ka ungməne, ⁺akafa sa awaasa ⁺uyane nikəwərino ⁺ungməne.
3a09110071	Nikəwərino taniciye ugaso ka bigana ⁺ungməne, ama ka bigana uren ne uray nikəwərino niza niyane-wo nituma.
3a09120046	A ana ⁺awuna nikəwəri ne uciba ˂nidaake niyane nituma shere mgba.
3a091300cf	Sa Mosa ˂ukumuwe ubiyare wo unaafase wo aganaa apuwa sa uduwaka ⁺ukuna, hane ⁺ucuwana mgba me nrəku ne nwuwamaw ne nsong nvuwama a nva me uhizop, hane ⁺ungmiskize ne uborotaanew a unaafase wo aganaa.
3a09140058	Hane ⁺ukuna, “A mgba me nikəwərino ze sa Ashini ⁺ukunan keye inyaana a idafe.”
3a09150067	A nongo ˂ukungmiskizi ne uTenti, a ne unaafase wo mpoppuwama sa ꞊ayane nituma ne urume wo Ashini ne.
3a09160070	Uduwaka ⁺uyeme uwone kuwede yina sa aptyize ne mgba, ka haza a ne uwake wo mgba, aza aciye-ha uviyasa wo araa.
3a091700f9	A ana ⁺awuna uTenti ne unaafase wo apuwa sa are ne aməmo, sa a ana ꞊adonkize apuwa sa are ashini, ⁺akafa sa aptyize ne mgba me inama, ama apuwaa sa are ashini ⁺akafa sa aptyize ne uniyaze wo Ashini apuwa sa apere uniyaze wo kiwaa ke binama.
3a091800c3	Wərike Animasihu ˂ukudaake unugi Ayaaraa sa Amaane Nsano sa bigana ⁺uyane, hay sa ꞊adonkeze ha kiwenden ka, ama a ashinaa ⁺unugin, wərike udonke niciye newo ubusa ke Ashini wərike haro.
3a091900ae	˂Ukudaake ⁺unyaana ashini wərike ukafe ꞊uniyaze wo mgba mawo, tantaasa borewono wo mpiris ꞊unugizi Ayaaraa sa Amaane Nsano kuwede nije ninay ne mgba may sa haza mawo.
3a091a00f6	Ka nongo, gade Animasihu uniya ubusa ne uniya wo uriyare gay, ucuwana wo agabaa sa ˂akayane inang. Ama ⁺udonke niciye newo nidii cas ne aye ha umuwene, wərike uviyase apuwa araa, sa ⁺ukune niciye newo saa kiwaa ke binama wərike ane Ashini.
3a091b0072	Tantaasa ⁺akafa kuwede bije bigana sa ungməni nidii cas, ka ⁺ayane nongo, sa ayane-wo nhara me anowa ne araa,
3a091c00d8	anongo Animasihu ˂ukune niciye newo nidii cas, wərike uviyase wo apuwa araa ha agana gay. Uta ukuri uye ne uriya, haza a wərike une uriyare wo apuwa araa, ama a wərike utubse haremay sa are ne uya wo niziya newo.
3a0a0100f5	Uduwaka a udonke wo apuwa anowa sa ayiyezi haza una ure kiwenden ke apuwaa. Wərike nongo, uza uyiyame ukutti-wo hare niye urume wo Ashini acuge tantaasa Ashini utare-ha are, ne uniyaze wo kiwaa ke binama udiinwu shere umuwene kuwede nije ninay.
3a0a0200b9	Gade ata are nongo, gade ˂akadaake ⁺ajese uniyazew? Wərike hare uyane wo Ashini nituma akata aciye uptyize nidii cas, gade ndunkinze me iruwa yeha nza ndome nkafew ha ne apuwa araa.
3a0a030058	Ama uniyaze weenwo, a uwunda wo ubatiriza woha kuwede nije ninay apuwa araa sa ⁺ayane,
3a0a040043	wərike mgba me inaa ne imande, nza n-yiyame nviyase-wo apuwa araa.
3a0a05009c	A ana ⁺awuna sa Animasihu ˂ukuye ne inang ⁺ukuna, “Uniyaze ne kiwaa ke binama wərike ane Ashini, bo mbotara-bo, ama ⁺boyane-m nipum sa nta nne-bo.
3a0a060064	Uniyaze wo kiwaa ke nipabe ne uniyaze wərike uviyasa wo apuwa araa, ˂kibodaake ⁺bogofe uniyamto.
3a0a07008a	Hane ⁺nkuna, ‘Naa me ze, ⁺ayane ncaza ne ashini ham ne aməmo ncaza me anaza ha Ashini, Ashini ⁺n-ye n-yane apuwa sa botare.’”
3a0a0800f6	Ne uciba Animasihu ⁺ukuna, “Kiwaa ke binama wərike ane Ashini, ne uniyaze wo Ashini apuwa, a uniyaze wo nipabe ne uniyaze wərike uviyasa wo araa, mbotara-bo, baa akone ꞊bogofe uniyamto wo ana.” Nongo yaaro, uduwaka ⁺ukuna ayane nongo.
3a0a09007c	Hane ⁺ukuna, “Naa me ze, n-ye n-yane apuwa sa botare.” ⁺Ucay uduwaka wo uciba ne agərife, wərike utunki wo uriyaw.
3a0a0a0079	A wərike apuwa hayen ha sa utare, ⁺akutti haro ⁺ticuge hare nsano, wərike une wo nipum ne Yeso Animasihu nidii cas.
3a0a0b008d	Kuwede uje upiris ꞊uyane nituma newo kuwede nje nweng, ꞊ukuniyaze a udandere uniyaze wo kiwaa ke binama wee sa uza uviyase-wo apuwa araa.
3a0a0c0098	Ama Animasihu upiris wooro, ⁺une niciye newo nidii cas, saa uniyaze wo kiwaa ke binama wərike uviyasa wo araa, hane ⁺ucuge ne taare tine te Ashini.
3a0a0d0071	Ucuwana ne agaba hayen, ure ne uya wo hare ugaa wo unay woo, sa Ashini uta ukutti-ha apuwa ha uruwabta ne tikaza.
3a0a0e008e	Kiwaa ke binama nidiinnu wərike ane Ashini, ⁺kiwuna haremay sa ꞊awooze-ha acuge ne nsano, are tantaasa Ashini utare-ha are shere umuwene.
3a0a0f003a	Bidiri Bisanobo ꞊udonkeze haro nongo, ne uciba ⁺ukuna,
3a0a1000a5	“A nikəwəri nee nta n-yane ne ha ka agaba hayen amaa, nta nwone nduwaka mam ne aməmo iruwa yeha, a ncaze nna ne aməmo iruwa yeha, apuwa sa ze Mbaa ⁺ukuna.”
3a0a110065	Ukuri ⁺ukuna, “Apuwa araa haa, a uzira wo udafe wo uduwaka woha, nza ndome mbatiriza-m ne ana.”
3a0a120076	Ka ⁺aviyasa-ha apuwa araa hay, aza adome ayane-ha kiwaa ke binama wərike ane Ashini, wərike uviyasa wo apuwa araa.
3a0a130056	Aruwanke ham, ticiye ugaso wo unugi ne Ayaaraa sa Amaane Nsano ne aməmo mgba me Yeso,
3a0a140058	a wo ⁺udiine haro uwunda usawo wo uray, ne uwunda wo unaabune sa a una ure nipum newo.
3a0a150052	Anongo ⁺ticiye upiris umənuu, sa ure ne tigbama te unaafase wo agana ha Ashini.
3a0a1600c1	Wərike nongo, sa tikiyerenku n-yaa ke Ashini ne iruwa ye kiwenden shere uhaza wo iruwa, a tiye ne iruwa yee sa ⁺aptyize ina shere uyane wo araa, ne apum sa ⁺aptyize ne nwuwamaw nsərəyma.
3a0a170077	Sa titunna ne ugaso ne aməmo uwuna wo iruwa yooro sa tinazen, wərike awaasa ⁺uyane haro nikəwəri a bore kiwenden.
3a0a18005a	Sa tiyane tantaasa tatiwone aciye haro ticuge hare uyane wo apuwa anowa ne uyeme wo aciye.
3a0a1900bf	Kate tijese usundinza wo urume wo Ashini, tantaasa haage ꞊ayane, ama sa tire hare ugasinza wo aruwanke iruwa, a tine ubusa ne uyanew nongo, wərike uweng wo niziya ne Mbaa ˃ukərenu n-yaa.
3a0a1a0090	Ka ⁺tiniya ubusa ne uyane wo apuwa araa ugəyye, sa ⁺ntikpaa kiwenden, azaa uniyaze wo kiwaa sa ata adome ayiyame uyanew wərike apuwa araa,
3a0a1b0076	ama sa uwuwage wo ukpate woo ne nhara me anowa ne araa cas, a una uwarew gay sa uta upabe hare ugaa wo unay wo Ashini.
3a0a1c006c	Awaasa ugaa-wo udafe wo uduwaka wo Mosa ꞊akawe-wo shere ugbane, ka agofe anazaa ke agana nriya baa ntaaro,
3a0a1d009d	kibəre awaasa ⁺uyasa Vana bo Ashini, ⁺ukuri ⁺ukutti mgba me nikəwərino sa ⁺nptyize-wo a apuwa ha uzira wo nsano, ⁺uzuwake Bidiri bo apuwa anowa.
3a0a1e00bc	Wərike tiriya awaasa ⁺ukuna, “Ame nre bore ukutti wo kuwede ana apuwa sa ⁺uyane, nta nkutti kuwede ana ne.” Ukuri ⁺ukuna, “Mbaa uta uyane agana hawo nhara me anowa ne araa.”
3a0a1f003e	A apuwa ha uwuwage a bigana urii ne taare te Ashini bore uray.
3a0a200082	Batirizan ne ayeha sa ˂akamaa, sa ˂ikimare ⁺ikpaa nsaa me Ashini, sa ˂ikireete une wo iruwa yee ne aməmo ngmassa ne uriyare.
3a0a210098	Ananke agabaa ˂akazuwage-ye ⁺aniyaze-ye uriyare ubusa ke agana, ananke agabaa ꞊ikikande-ha, a ire apuwa nidii ne aruwanke sa ⁺aniyaze-ha uriyare.
3a0a22009e	⁺Ikidonkize ugbane ke haremay sa are ne ukura wo tibaa, ⁺iyane amane ka avuwa-ye mpoppuwa, wərike iriya a ita iciye mpoppuwa sa amaane, sa nza ncaane-wo.
3a0a230037	Wərike nongo kate ipura ne iruwa, ita iciye upase gay.
3a0a24005c	Sa ireete uya, ne ꞊uyane wo apuwa sa Ashini utare, ita ikpaa apuwa sa ˂ukukone uta uyane.
3a0a25002e	Ne agabaa cim, “Wo sa uyiyezi, uta uye yare.
3a0a26007e	Ama bore uzira wo araa ham, uta une ubusa ne ucugi ne aməmo une wo iruwa. Ka ⁺uvoore ne utine, nza ngofe-m uniyamto woo.”
3a0a270073	Ama haro, haza a hare uvoreze ne utine niya uriyare wo ungməne tire, ama a hare une wo iruwa niya uciye wo utubsa.
3a0b010070	Une wo iruwa a una ure ucuwana a kiwenden apuwa sa tiwuna iruwa, a ucuwana wo apuwa sa tidaake tinay anongo are.
3a0b020038	Wərike une wo iruwa, ˂akarumi ncaaran me aye ha utine.
3a0b03008a	Wərike une wo iruwa, ⁺tiyiyama a ne anaza Ashini ˂ukuyane inang ne, wərike haza a ne apuwa sa ayate ˂akayane apuwa sa ayate saanuwa.
3a0b040107	Wərike une wo iruwa, Habina ˂ukuyane Ashini uniyaze wo kiwaa ke binama sa kipere ke Kayinu. Wərike une wo iruwa, ˂akarumi-wo ⁺ucuge bore uzira wo araa, sa Ashini ˂ukuyane anaza anowa ha uniyaze woo. ⁺Ungməne, ama udaa ne anaza wərike une wo iruwa yewo.
3a0b0500df	Wərike une wo iruwa, ˂akacuwana Enok niya ashini, ˂ukudaake ungməne. ˂Akadaake ⁺anay-wo wərike Ashini ˂ukucuwana-wo. Sa ˂akadaa akate acuwana-wo, ˂akarumi-wo ⁺ucuge bore uyane wo apuwa sa Ashini ugofe uniyamto.
3a0b0600cf	Shere une wo iruwa azaa awaasa uta uyiyame a uyane apuwa sa Ashini uta ugofe uniyamto woo, wərike awaasa uta uye ke Ashini sa ⁺une iruwa a Ashini ure ne, a wo ꞊uyane haremay sa ꞊anaase-wo apuwa anowa.
3a0b07012a	Wərike une wo iruwa, Nuhu sa ˂akayane-wo uduwamo ne apuwa sa ˂akadaa akate anay, ne aməmo uwuwage wo Ashini ˂ukushabe ujirigi wo nwuwamaw unaaw wərike uvuwa agana ha ukura woo. Wərike une wo iruwa yewo, ˂ukukpate agana ha inang, hane ucuge bore uyane wo anowa sa une wo iruwa ꞊uyiyezi ne.
3a0b0800bd	Wərike une wo iruwa, Ibirahem sa ˂akagaaseke-wo niya ne aninkaa sa uta unanke a ukpaa acuge hawo, ˂ukuyane apuwa sa ⁺akunan kewo, ⁺uduura ne ukuna ˂ukutiya-wo tiya sa ˂ukuyaaze ne.
3a0b0900e9	Wərike une wo iruwa, Ibirahem ˂ukukutti nriyam me nikəwəri ukura woo saa bijan ne nriyam me nnang. ˂Ukucukse ne aməmo ntenti, anongo Ishaku ne Yakubu sa akare haremay sa ata akpaa apuwa adiinha sa Ashini ˂ukukone a uta une-ha.
3a0b0a0068	Wərike ukure ne uwuna wo iruwa ne apiye hay sa ⁺atunki ana, hay sa bore idiyanay ne atiyaa, a Ashini.
3a0b0b00b5	Wərike une wo iruwa, Ibirahem sa ˂ukumare ⁺ucaaranka, ˂ukuciye awure wərike ˂ukune iruwa ke Ashini awaasa ˂ukuyane-wo nikəwəri ne ukuna buray bewo ke Saratu ꞊ukuwuse-wo.
3a0b0c00a3	Wərike nongo, a ke bigana bigəndi beebo sa ˂ukumare ⁺ucuge saa nikoro, ˂akaciye ataa pan saa iwere ye nshini, saa ishiyaro ye uraawa sa aza ayiyame avane-ha.
3a0b0d00ce	Unaafase wo agana hay ˂akangməni ne aməmo une wo iruwa. ˂Akadaake ⁺akpaa apuwa sa ˂ukukone uta uyane-ha, ˂akanay ana kinereng ⁺ayane amane. A bano ˂akayiyame ha a ajan, haza a agana ha inang yee.
3a0b0e0049	Agana hare ꞊uyane wo anaza hay, ⁺adonke ˃anaase nriyam me aciye haa.
3a0b0f004c	Gade ndunkunze meha a me nriyam sa ˂akajese, gade ⁺aciye aciye ha uvoore.
3a0b1000b5	Ama ˂akawone iruwa yeha ne nriyam may sa mpere unoo, nriyam me ashini. Wərike nongo Ashini ꞊unugofe-wo nziri agaaseke-wo Ashini haa. A ana ⁺awuna ⁺urondeke apiye wərike ha.
3a0b1100c1	Wərike une wo iruwa, Ibirahem ˂ukune Ishaku saa binama bo kiwaa, agabaa sa Ashini ˂ukunaase unay une wo iruwa yewo. Awaasa a wo ˂ukukpaa nikəwərino ˂ukutare une vana bewo bona bidii cas,
3a0b12005a	kuwede sa Ashini ˂ukukonen kewo, “A ne upang wo Ishaku cas agana habo ata akaane ne.”
3a0b1300b0	Ibirahem ˂ukukone ne iruwa yewo, ka Ishaku ungməne Ashini uta uyiyame a uninkize-wo. Sa Ibirahem ˂ukukpaa vana bewo Ishaku, are saa ˂ukukpaa-wo ke haremay sa ⁺anangməne.
3a0b14005b	Wərike une wo iruwa, Ishaku ˂ukuwone Yakubu ne Isuwa apuwa anowa sa ata aciye niya ubusa.
3a0b1500a1	Wərike une wo iruwa, Yakubu sa ˂ukuyaaze ungməne, ˂ukuwone kuwede bije vana bo Isubu apuwa anowa, ukuri ⁺urume Ashini sa ˂ukuyininke ashini ne ubinda woo.
3a0b1600a6	Wərike une wo iruwa, Isubu sa aye ha ungməne woo ˂akaye n-yaa, ˂ukuyane anaza ha nikaane ne aSarinawa uMasar, hane ⁺ubiyate-ha tantaasa ata ayane ne nwuge mawo.
3a0b1700b1	Wərike une wo iruwa, haremay sa ˂akawuri Mosa ˂akanese-wo tipiye titaaro ne awure hawo, wərike sa ˂akanay-wo a vana binoobo, ˂akadaake agofe uwuwage wo uduwaka wo bigbama.
3a0b180065	Wərike une wo iruwa, Mosa sa ˂ukuhaaranko, ˂ukugaa-wo akonen kewo a vana bo bishiyahay bo Firawna.
3a0b190064	˂Ukucuwana uta une uriyare ne agana ha Ashini, sa ne akone ugofe uniyamto wo apuwa araa wo aye cim.
3a0b1a00b6	˂Ukucuwana uniya wo nziri wərike Animasihu, upere ikurufe ye uMasar uciye wo umənu. ˂Ukuyane nongo a wərike sa ˂ukuwone iruwa ne apuwa amənuha sa Ashini uta une-wo niya ubusa.
3a0b1b0098	Wərike une wo iruwa, ˂ukujese uMasar shere uwuwage wo ukara wo bigbama, ˂ukureete ne aməmo ugaso wo iruwa yewo wərike ⁺unay awaasa anayate-ha wo.
3a0b1c00ac	Wərike une wo iruwa, ˂ukuyane Usonde wo Uganke, ˂ukungmyiski mgba ne anənkəy ha ukura wərike kate bore uwekse wo ayiyane ha uciba upata ayiyane ha uciba ha aSarinawa.
3a0b1d008c	Wərike une wo iruwa, aSarinawa ˂akadafe ne aməmo Uraawa Uvuwaw ne idaa iwuway, ama sa aMasarawa akatare adafe, hane nwuwamaw ⁺nsure-ha.
3a0b1e006c	Wərike une wo iruwa, uvu wo apiye ha uJeriko ˂ukurii daa, sa ˂akayane aye usunderi are ne urənse wo una.
3a0b1f0096	Wərike une wo iruwa, ˂akadaake awe Rahab bicinaake ne hare uzira wo ugofe wo anaza ha Ashini, wərike sa ˂ukukpaa aSarinawa hare urənge wo nriyam.
3a0b2000a4	Ayina nta ndome nkone? Nza-m agabaa sa nta mbiyate-ye anaza ne ashini ha Gidiyon ne Barak ne Samson ne Jefta ne Dawda ne Samayna a hare niyiyezi ne anaza ha Ashini,
3a0b210097	haremay sa wərike une wo iruwa ˂akapere ugaso wo agbama, ⁺ayane anowa, ⁺akpaa apuwa sa ˂ukukone uta uyane-ha, a ha ˂akawəbsi tinuwe te nzeeki,
3a0b22009e	˂akabite ugaso wo unaw, ⁺ahara-ha uniya wo kiwaa ke uvira, ˂akakutti uzira wo ugaso woha ⁺ucuge ugaso, ˂akapere ugaso wo hare ntaa me nriyam muwa-muwa.
3a0b2300b3	Ahay ˂akakpaaze agana haa ne uray sa ˂akamare ⁺angməne. ˂Akane haage uriyare, hare uniya wo uriyarew⁺aga-ha ajese-ha, wərike aciye nininki ne aməmo isaw sa nimaane unoo.
3a0b24006c	Haage ˂akayane-ha anaza ha mbenne, ⁺awətte-ha. Haage ˂akabaaze-ha ⁺amaga-ha ne aməmo ukura wo tibaa.
3a0b2500b5	˂Akataaze-ha ne ataane, ⁺ahaza-ha tiriya ne uvira, ⁺awekse-ha ne uvira. ˂Akawoone nwa me idunke ne imande ˃anyaana ne. ˂Akayane ucugi wo ugbangane ne uriyare a ugaa wo unay.
3a0b260086	Inang yee ˂ikidaake ihama unoo wo ucugi woha. ˂Akarənse ndare ne ashini ne ataane, a ne aməmo atiyang, a ne aməmo tiwuwe te idaa.
3a0b270082	˂Akarumi agana hay wərike une wo iruwa yeha. Nongo yaaro azaa bigi ne aməmo haa, sa ˂ukukpaa apuwa sa ˂akayane-ha nikəwəri.
3a0b280072	Ashini ˂ukuyane haro apuwa sa amaane unoo wərike sa ne haro ata akutti-ha acuge tantaasa Ashini utare haro tire.
3a0c0100fc	Usonde wo agana gay haremay sa ˂akane iruwa yeha ke Ashini ⁺arənge haro, wərike nongo, sa tikatte kuwede aje apuwa sa ꞊akareze haro, ne apuwa araa sa ꞊abaazeze haro shere uriyare, a tireete uyane wo ucom wo ncibnaa may sa nre ubusa wooro nnoo.
3a0c02010c	Sa titunki ayizi haaro ke Yeso, awaasa a wo ure ubuze ne umuwene wo une wo iruwa yooro. Wərike nsano me iruwa sa ˂ukure ne uyaw, ⁺ureete ucuwane wo ubirikane, ⁺ukutti nziri me una haza ananke apuwa, ⁺ucuge ashini ne ukpənku wo tigbama ne taare tine te Ashini.
3a0c03005e	Gbənken wo sa ⁺ureete ugaa wo unay ke hare apuwa araa, wərike kate iwuzi a ipura ne iruwa.
3a0c040059	Ne aməmo ngmassa maye ne apuwa araa, idaake iyane apuwa sa ahama ita iwake mgba maye ne.
3a0c0500b0	⁺Ishama-ye ne anaza ha uniyaze wo ugaso sa Ashini ⁺unasa wərike ye a ayiyane hawo. ⁺Ukuna, “Vana bom, kate boyase uduwamo wo Mbaa, kate bopura ne iruwa ka uptyabke-bo,
3a0c060096	wərike Mbaa ꞊uduwame haremay sa ꞊uyeme-ha, ꞊uniyaze unaafase wo haremay sa ⁺ukpaa saa ayiyane hawo uriyare wərike apuwa araa sa ⁺ayane.”
3a0c07008c	Reeten uniya wo uriyare a icuwana una a uduwamo, Ashini ꞊uyane-ye nongo wərike ye, a ayiyane hawo. A bije vana babba woo unuduwama-wo wo?
3a0c08007e	Ka ana duwama-ha ye, tantaasa ꞊aduwame unaafase wo ayiyane ha Ashini, ⁺adonke ye a awure ha tiway haza a ayiyane ha ukura.
3a0c0900cf	Muwe ne nongo, ticiye mbabban maaro ne aməmo nipum sa ꞊aduwame haro, ꞊tiniyaze-ha iwone, wərike nongo sa ꞊ayane. Tiza timaado ukpaa wo uduwamo wo Babba wooro ne aməmo bidiri, wərike ticuge ne uray?
3a0c0a009e	Mbabban maaro ꞊aduwame haro ucuwana wo agaba cim tantaasa ⁺anay ⁺ayane unoo, ama Ashini ꞊uduwame haro wərike ukande wooro, wərike ticiye nsano mawo.
3a0c0b00ab	Azaa uduwamo wee sa uniyamto ne agaba ha uyane wo una, sa ncaanom me iruwa. Ama ne utine, ꞊uwooze ucesize wo uzira wo araa ne uraara wo iruwa ke haremay sa ⁺akpaa una.
3a0c0c0049	Wərike nongo, natan taare teye sa ⁺ntiwuze, a anuu haye sa anagaso-ha.
3a0c0d006b	Toreken tiwunda wərike tikaza teye, wərike kate bore nkpane me tikaza udere aciyeha, ama sa uciye niwuma.
3a0c0e007d	Yanen tantaasa ita iyane ucugi wo uniyamto ne kuwede ana, a icuge ne nsano. Shere ucuge ne nsano, azaa a waasa uta unay Mbaa.
3a0c0f007d	Yanen nnoo kate bigi udere apuwa anowa ha Ashini, kate bigi ucuge ninyengu ne ukara sa uta uye ne tiduba, a ucaane agana gay.
3a0c1000af	Yanen nnoo, kate bigi uyane ticinaake, baa bore uzira wo udafe wo Ashini saa Esuwa, awaasa wərike nijaaro ne apuniya nidii, ˂ukuzeeze apuwa sa ˂akare hawo ha vana bo uciba.
3a0c1100c8	Tantaasa iriya, ne utine, sa ˂ukutare ukpaa apuwa anowanha sa ˂akare hawo, hane ⁺agaa-ha wo. ˂Ukudaake uciye ukutti wo ana tantaasa ˂akare, ne ukuna yaaro sa ˂ukunaase apuwa anowanha ne n-yizi.
3a0c12007a	Idaake iye ne utaane wo uSinay wee sa ita iyiyamea ipata, sa ꞊upabare ne una gay, ne aninka ha nrii nciringma ne nijife,
3a0c130080	ne uwuzze wo niwunu, ne niviyaw sa nire ne anaza tantaasa hare ugofe ⁺ayane nwure ⁺akuna kate ane ubusa ne uyane woha anaza.
3a0c140092	˂Akadaake ⁺ayiyama ureete wo udafe wo uduwakaw sa ˂akane-ha sa ⁺ukuna, “Kuwede gade a binama ⁺upata utaanew, ata ataaze-wo ne ataane.”
3a0c150069	Apuwaa sa ˂akanay aciye uwuwage gay, sa ˂akawone Mosa ⁺ukuna, “Nipum nom nicere wərike uwuwage.”
3a0c1600b7	Ama ⁺iye ke utaane wo uSihiyona, uUrushanima wo ashini, apiye ha Ashini bore uray. ⁺Iye ke mpuwe ne ashini ha mpuwe me atuma ha Ashini sa are ashini ne aməmo usonde wo amane gay.
3a0c1700f8	⁺Iye ke usonde wo hare udafe, ayiyane ha uciba haremay sa ⁺acaza aziya haa ashini. ⁺Iye ke Ashini bore uyane wo unaafase wo agana nhara me anowa ne araa, ⁺iye ke idiri ye hare anowa, haremay sa ⁺akutti-ha are tantaasa Ashini utare-ha are.
3a0c1800ae	⁺Iye ke Yeso, sa ˃utore ne ntitay me Ashini ne agana ne aməmo nikəwəri nisawno. ⁺Iye ke mgba may sa ˂akangmyiskizi sa ꞊n-yane anaza hay sa apere ha mgba me Habina.
3a0c1900bc	Nay, kate igaa-ye awaasa ure ne anaza. Ka ˂akadaake ayiyama uhara woha sa ˂akaga-ha wo, awaasa ˂ukuduwame-ha ne inang, akibəre haro, ka tijese udafe woo, awaasa ꞊uduwame haro ashini?
3a0c1a009f	Ne agaba hayen, niviyaw newo ˂kinizungurize inang, ama saanuwa ⁺uyane nikəwəri ⁺ukuna, “Haza inang cas nta nzungurize, nta nkuri nzungurize nshini.”
3a0c1b00a3	Anaza hay, “nkuri,” ⁺adonke ukatte wo apuwa sa ata azungurize ana, apuwa hay sa ⁺ayane ana, wərike apuwa sa aza ayiyame-ha uzungurize wo ana, ata adiyage.
3a0c1c00a3	Wərike nongo, sa ⁺acuge tatikpaa tigbama tee sa aza ayiyame-ha uzungurizew, sa tiyane amane, a tirumi Ashini ne aməmo umənu woo ne uwuwage tantaasa uta ukpaa,
3a0c1d002d	wərike Ashini haaro a una wee sa ꞊upabare.
3a0d01002c	Niyan ubusa ne uyeme wo aciye, saa aruwanke.
3a0d020076	Kate ijese ꞊uyane wo ajan apuwa anowa, anongo haage ˂akayane atuma ha Ashini sa are ashini ukande shere uriya woha.
3a0d0300c4	Batirizan ne haremay sa are ne aməmo ukura wo tibaa, sakuna ye maa ire ne ukura wo tibaa saa ha, a haremay sa are ne ꞊uniyaze woha uriyare, sakuna a ye ne aciye haye ire ne ˃uniya wo uriyarew.
3a0d0400db	Akafa kuwede ana ucuwana ucugi wo anyaa a apuwa amənuha, kate icaane ukuwemi wo anyaa haye ne, wərike Ashini uta uyane hare umasa ne ahay ne anome ha haage a unaafase wo hare uyane wo ticinaake nhara me anowa ne araa.
3a0d050097	Kate ire hare uyeme wo ikurufe, ama sa ire hare amane ne apuwa sa iciye, wərike Ashini ⁺ukuna, “Nza mmage njese-m bo, nza mmage nnyandere-m bo.”
3a0d060090	A ana ⁺awuna ne aməmo ugaso wo iruwa ꞊tigose, “Mbaa a wo ure bore ukande wom, nza ngofe-m uwuwage. Ayina bigana uta uyiyame a uyane-m?”
3a0d0700a3	Batirizan ne harewono woye, sa ˂akabiyare-ye anaza ha Ashini. Gbənken a inay unaafase wo apuwa anowa sa ⁺ayane ne aməmo ucugi woha, a idafe une wo iruwa yeha.
3a0d080047	Yeso Animasihu ure tantaasa ˂ukure ne abəy ne yenəy a shere umuwene.
3a0d0900d7	Kate ijese unaafase wo udonkize wo anuwe muwa-muwa uriyange-ye. ⁺Ayane unoo ticiye ugaso wo iruwa ne aməmo apuwa anowa ha Ashini, haza a ne utanda wo nne me apuniya muwa muwa, may sa nza-wo ukande ke hare uniyaw.
