280119008c	ⲙⲡⲉϥⲥⲟⲩⲱⲛⲥ ϣⲁⲛⲧⲉⲥϫⲡⲟ ⲙⲡⲉⲥϣⲏⲣⲉ. ⲁϥⲙⲟⲩⲧⲉ ⲉⲡⲉϥⲣⲁⲛ ϫⲉ ⲓ̅ⲥ̅.
280201014d	ⲓ̅ⲥ̅ ⲇⲉ ⲛⲧⲉⲣⲟⲩϫⲡⲟϥ ϩⲣⲁⲓ ϩⲛⲃⲏⲑⲗⲉⲉⲙ ⲛⲧⲉϯⲟⲩⲇⲁⲓⲁ ϩⲛⲛⲉϩⲟⲟⲩ ⲛϩⲏⲣⲱⲇⲏⲥ ⲡⲣⲣⲟ. ⲉⲓⲥϩⲉⲛⲙⲁⲅⲟⲥ ⲁⲩⲉⲓ ⲉⲃⲟⲗ ϩⲛⲛⲉⲙⲁⲛϣⲁ ⲉϩⲣⲁⲓ ⲉⲑ̅ⲓ̅ⲗ̅ⲏ̅ⲙ̅ ⲉⲩϫⲱ ⲙ̅ⲙⲟⲥ.
28020200c7	ϫⲉ ⲉϥⲧⲱⲛ ⲡⲣⲣⲟ ⲛⲛⲓⲟⲩⲇⲁⲓ ⲛⲧⲁⲩϫⲡⲟϥ. ⲁⲛⲛⲁⲩ ⲅⲁⲣ ⲉⲡⲉϥⲥⲓⲟⲩ ϩⲛⲛⲉⲙⲁⲛϣⲁ ⲁⲛⲉⲓ ⲉⲟⲩⲱϣⲧ ⲛⲁϥ.
28020300af	ⲁϥⲥⲱⲧⲙ ⲇⲉ ⲛϭⲓϩⲏⲣⲱⲇⲏⲥ ⲡⲣⲣⲟ. ⲁϥϣⲧⲟⲣⲧⲣ ⲉⲙⲁⲧⲉ ⲙⲛⲑⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ ⲧⲏⲣⲥ ⲛⲙⲙⲁϥ.
2802040105	ⲁϥⲥⲱⲟⲩϩ ⲉϩⲟⲩⲛ ⲛⲛⲁⲣⲭⲓⲉⲣⲉⲩⲥ ⲧⲏⲣⲟⲩ ⲙⲛⲛⲉⲅⲣⲁⲙⲙⲁⲧⲉⲩⲥ ⲙⲡⲗⲁⲟⲥ. ⲁϥϣⲓⲛⲉ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧⲟⲩ ϫⲉ ⲉⲩⲛⲁϫⲡⲟ ⲙ̅ⲡⲉⲭ̅ⲥ̅ ⲧⲱⲛ.
28020500cf	ⲛⲧⲟⲟⲩ ⲇⲉ ⲡⲉϫⲁⲩ ⲛⲁϥ ϫⲉ ϩⲣⲁⲓ ϩⲛⲃⲏⲑⲗⲉⲉⲙ ⲛⲧⲉϯⲟⲩⲇⲁⲓⲁ. ⲉϥⲥⲏϩ ⲅⲁⲣ ⲛⲧⲉⲓϩⲉ ϩⲓⲧⲙⲡⲉⲡⲣⲟⲫⲏⲧⲏⲥ.
280206014e	ϫⲉ ⲛⲧⲟ ϩⲱⲱⲧⲉ ⲃⲏⲑⲗⲉⲉⲙ ⲡⲕⲁϩ ⲛⲓⲟⲩⲇⲁ ⲛⲧⲉϫⲟⲗϩ ⲁⲛ ϩⲛⲛϩⲏⲅⲉⲙⲱⲛ ⲛⲓⲟⲩⲇⲁ. ϥⲛⲏⲩ ⲅⲁⲣ ⲉⲃⲟⲗ ⲛϩⲏⲧⲉ ⲛϭⲓⲟⲩϩⲏⲅⲟⲩⲙⲉⲛⲟⲥ. ⲡⲁⲓ ⲉⲧⲛⲁⲙⲟⲟⲛⲉ ⲙⲡⲁⲗⲁⲟⲥ ⲡⲓ̅ⲏ̅ⲗ̅.
28020700ed	ⲧⲟⲧⲉ ϩⲏⲣⲱⲧⲏⲥ ⲁϥⲙⲟⲩⲧⲉ ⲉⲙⲙⲁⲅⲟⲥ ⲛϫⲓⲟⲩⲉ ⲁϥϣⲓⲛⲉ ⲉⲃⲟⲗ ϩⲓⲧⲟⲟⲧⲟⲩ ⲛⲥⲁⲡⲉⲩⲟⲉⲓϣ ⲙⲡⲥⲓⲟⲩ ⲛⲧⲁϥⲟⲩⲱⲛϩ ⲉⲃⲟⲗ.
2802080157	ⲁϥϫⲟⲟⲥⲉ ⲉϩⲣⲁⲓ ⲉⲃⲏⲑⲗⲉⲉⲙ ⲉϥϫⲱ ⲙⲙⲟⲥ. ϫⲉ ⲃⲱⲕ ⲛⲧⲉⲧⲛϣⲓⲛⲉ ϩⲛⲟⲩⲱⲣϫ ⲉⲧⲃⲉⲡϣⲏⲣⲉ ϣⲏⲙ. ⲉϣⲱⲡⲉ ⲇⲉ ⲉⲧⲉⲧⲛϣⲁⲛϩⲉ ⲉⲣⲟϥ ⲙⲁⲧⲁⲙⲙⲟⲓ ϩⲱ ϫⲉⲕⲁⲥ ⲉⲓⲉⲉⲓ ⲛⲧⲁⲟⲩⲱϣⲧ ⲛⲁϥ.
2802090164	ⲛⲧⲟⲟⲩ ⲇⲉ ⲛⲧⲉⲣⲟⲩⲥⲱⲧⲙ ⲉⲃⲟⲗ ϩⲓⲧⲙⲡⲣⲣⲟ ⲁⲩⲃⲱⲕ ⲁⲩⲱ ⲉⲓⲥⲡⲥⲓⲟⲩ ⲛⲧⲁⲩⲛⲁⲩ ⲉⲣⲟϥ ϩⲛⲛⲉⲙⲁⲛϣⲁ ⲁϥⲙⲟⲟϣⲉ ϩⲏⲧⲟⲩ ϣⲁⲛⲧⲉϥⲉⲓ ⲛϥⲁϩⲉⲣⲁⲧϥ ⲉϫⲙⲡⲙⲁ ⲉⲛⲉⲣⲉⲡϣⲏⲣⲉ ϣⲏⲙ ⲛϩⲏⲧϥ.
28020a0074	ⲛⲧⲉⲣⲟⲩⲛⲁⲩ ⲉⲡⲥⲓⲟⲩ ⲁⲩⲣⲁϣⲉ ϩⲛⲟⲩⲛⲟϭ ⲛⲣⲁϣⲉ ⲉⲙⲁⲧⲉ.
28020b017e	ⲁⲩⲱ ⲛⲧⲉⲣⲟⲩⲉⲓ ⲉϩⲣⲁⲓ ⲉⲡⲏⲓ ⲁⲩⲛⲁⲩ ⲉⲡϣⲏⲣⲉ ϣⲏⲙ ⲙⲛⲙⲁⲣⲓⲁ ⲧⲉϥⲙⲁⲁⲩ ⲁⲩⲡⲁϩⲧⲟⲩ ⲁⲩⲟⲩⲱϣⲧ ⲛⲁϥ. ⲁⲩⲟⲩⲱⲛ ⲛⲛⲉⲩⲁϩⲱⲱⲣ ⲁⲩⲉⲓⲛⲉ ⲛⲁϥ ⲛϩⲉⲛⲇⲱⲣⲟⲛ. ⲟⲩⲛⲟⲩⲃ. ⲙⲛⲟⲩⲗⲓⲃⲁⲛⲟⲥ. ⲙⲛⲟⲩϣⲁⲗ.
28020c00f6	ⲁⲩⲧⲟⲩⲛⲉⲓⲁⲧⲟⲩ ⲇⲉ ⲉⲃⲟⲗ ϩⲛⲟⲩⲣⲁⲥⲟⲩ ⲉⲧⲙⲕⲟⲧⲟⲩ ϣⲁϩⲏⲣⲱⲇⲏⲥ. ⲉⲃⲟⲗ ϩⲓⲧⲛⲕⲉϩⲓⲏ ⲁⲩⲁⲛⲁⲭⲱⲣⲉⲓ ⲉϩⲣⲁⲓ ⲉⲧⲉⲩⲭⲟⲣⲁ.
28020d0201	ⲛⲧⲉⲣⲟⲩⲃⲱⲕ ⲇⲉ ⲉⲓⲥⲡⲁⲅⲅⲉⲗⲟⲥ ⲙⲡϫⲟⲉⲓⲥ ⲁϥⲟⲩⲱⲛϩ ⲉⲃⲟⲗ ϩⲛⲟⲩⲣⲁⲥⲟⲩ ⲉⲓⲱⲥⲏⲫ ⲉϥϫⲱ ⲙⲙⲟⲥ ϫⲉ ⲧⲱⲟⲩⲛ ⲛⲅϫⲓ ⲙⲡϣⲏⲣⲉ ϣⲏⲙ ⲙⲛⲧⲉϥⲙⲁⲁⲩ ⲛⲅⲃⲱⲕ ⲉϩⲣⲁⲓ ⲉⲕⲏⲙⲉ ⲛⲅϣⲱⲡⲉ ϩⲙⲡⲙⲁ ⲉⲧⲙⲙⲁⲩ ϣⲁⲛϯϫⲟⲟⲥ ⲛⲁⲕ. ϩⲏⲣⲱⲇⲏⲥ ⲅⲁⲣ ⲛⲁϣⲓⲛⲉ ⲛⲥⲁⲡϣⲏⲣⲉ ϣⲏⲙ ⲉⲧⲁⲕⲟϥ.
28020e00a9	ⲛⲧⲟϥ ⲇⲉ ⲁϥⲧⲱⲟⲩⲛ ⲁϥϫⲓ ⲙⲡϣⲏⲣⲉ ϣⲏⲙ ⲙⲛⲧⲉϥⲙⲁⲁⲩ ⲛⲧⲉⲩϣⲏ ⲁϥⲃⲱⲕ ⲉϩⲣⲁⲓ ⲉⲕⲏⲙⲉ.
