2802010134	ⲒⲎⲤⲞⲨⲤ ⲆⲈ ⲈⲦⲀⲨⲘⲀⲤϤ ϦⲈⲚⲂⲎⲐⲖⲈⲈⲘ ⲚⲦⲈϮⲒⲞⲨⲆⲈⲀ ϦⲈⲚⲚⲒⲈϨⲞⲞⲨ ⲚⲦⲈⲎⲢⲰⲆⲎⲤ ⲠⲞⲨⲢⲞ ϨⲎⲠⲠⲈ ⲒⲤ ϨⲀⲚⲘⲀⲄⲞⲤ ⲀⲨⲒ ⲈⲂⲞⲖ ⲤⲀⲠⲈⲒⲈⲂⲦ ⲈⲒⲈⲢⲞⲤⲀⲖⲎⲘ.
2802020101	ⲈⲨϪⲰ ⲘⲘⲞⲤ ϪⲈ ⲀϤⲐⲰⲚ ⲪⲎ ⲈⲦⲀⲨⲘⲀⲤϤ ⲠⲞⲨⲢⲞ ⲚⲦⲈⲚⲒⲒⲞⲨⲆⲀⲒ ⲀⲚⲚⲀⲨ ⲄⲀⲢ ⲈⲠⲈϤⲤⲒⲞⲨ ⲤⲀⲠⲈⲒⲈⲂⲦ ⲀⲚⲒ ϪⲈ ⲚⲦⲈⲚⲞⲨⲰϢⲦ ⲘⲘⲞϤ.
28020300a9	ⲈⲦⲀϤⲤⲰⲦⲈⲘ ⲆⲈ ⲚϪⲈⲠⲞⲨⲢⲞ ⲎⲢⲰⲆⲎⲤ ⲀϤϢⲐⲞⲢⲦⲈⲢ ⲚⲈⲘ ⲒⲈⲢⲞⲤⲀⲖⲎⲘ ⲦⲎⲢⲤ ⲚⲈⲘⲀϤ.
28020400f6	ⲞⲨⲞϨ ⲈⲦⲀϤⲐⲰⲞⲨϮ ⲚⲚⲒⲀⲢⲬⲒⲈⲢⲈⲨⲤ ⲦⲎⲢⲞⲨ ⲚⲈⲘ ⲚⲒⲤⲀϦ ⲚⲦⲈⲠⲒⲖⲀⲞⲤ ⲚⲀϤϢⲒⲚⲒ ⲚⲦⲞⲦⲞⲨ ϪⲈ ⲀⲨⲚⲀⲘⲈⲤ ⲠⲬⲢⲒⲤⲦⲞⲤ ⲐⲰⲚ.
28020500e8	ⲚⲐⲰⲞⲨ ⲆⲈ ⲠⲈϪⲰⲞⲨ ⲚⲀϤ ϪⲈ ϦⲈⲚⲂⲎⲐⲖⲈⲈⲘ ⲚⲦⲈϮⲒⲞⲨⲆⲈⲀ ⲠⲀⲒⲢⲎϮ ⲄⲀⲢ ⲈⲦⲤϦⲎⲞⲨⲦ ⲈⲂⲞⲖ ϨⲒⲦⲞⲦϤ ⲘⲠⲒⲠⲢⲞⲪⲎⲦⲎⲤ.
2802060166	ϪⲈ ⲚⲈⲘ ⲚⲐⲞ ϨⲰⲒ ⲂⲎⲐⲖⲈⲈⲘ ⲠⲔⲀϨⲒ ⲚⲒⲞⲨⲆⲀ ⲚⲐⲞ ⲞⲨⲔⲞⲨϪⲒ ⲀⲚ ϦⲈⲚⲚⲒⲘⲈⲦϨⲎⲄⲈⲘⲰⲚ ⲚⲦⲈⲒⲞⲨⲆⲀ ⲈϤⲈⲒ ⲄⲀⲢ ⲈⲂⲞⲖ ⲚϦⲎϮ ⲚϪⲈⲞⲨϨⲎⲄⲞⲨⲘⲈⲚⲞⲤ ⲪⲎ ⲈⲐⲚⲀⲀⲘⲞⲚⲒ ⲘⲠⲀⲖⲀⲞⲤ ⲠⲒⲤⲖ.
28020700d2	ⲦⲞⲦⲈ ⲎⲢⲰⲆⲎⲤ ⲀϤⲘⲞⲨϮ ⲈⲚⲒⲘⲀⲄⲞⲤ ⲚⲬⲰⲠ ⲀϤϦⲞⲦϦⲈⲦ ⲚⲦⲞⲦⲞⲨ ⲚⲤⲀⲠⲒⲤⲎⲞⲨ ⲚⲦⲈⲠⲒⲤⲒⲞⲨ ⲈⲦⲀϤⲞⲨⲰⲚϨ.
2802080145	ⲞⲨⲞϨ ⲀϤⲞⲨⲞⲢⲠⲞⲨ ⲈⲂⲎⲐⲖⲈⲈⲘ ⲈϤϪⲰ ⲘⲘⲞⲤ ϪⲈ ⲘⲀϢⲈ ⲚⲰⲦⲈⲚ ϢⲒⲚⲒ ⲀⲔⲢⲒⲂⲰⲤ ⲈⲐⲂⲈ ⲠⲒⲀⲖⲞⲨ ⲈϢⲰⲠ ⲆⲈ ⲚⲦⲈⲦⲈⲚϪⲈⲘϤ ⲘⲀⲦⲀⲘⲞⲒ ϨⲒⲚⲀ ⲚⲦⲀⲒ ϨⲰ ⲚⲦⲀⲞⲨⲰϢⲦ ⲘⲘⲞϤ.
280209018d	ⲚⲐⲰⲞⲨ ⲆⲈ ⲈⲦⲀⲨⲤⲰⲦⲈⲘ ⲚⲤⲀⲠⲞⲨⲢⲞ ⲀⲨϢⲈ ⲚⲰⲞⲨ ⲞⲨⲞϨ ϨⲎⲠⲠⲈ ⲒⲤ ⲠⲒⲤⲒⲞⲨ ⲪⲎ ⲈⲦⲀⲨⲚⲀⲨ ⲈⲢⲞϤ ⲤⲀⲠⲈⲒⲈⲂⲦ ⲚⲀϤⲘⲞϢⲒ ϦⲀϪⲰⲞⲨ ϢⲀⲦⲈϤⲒ ⲚⲦⲈϤⲞϨⲒ ⲈⲢⲀⲦϤ ⲤⲀⲠϢⲰⲒ ⲘⲠⲒⲘⲀ ⲈⲚⲀⲢⲈ ⲠⲒⲀⲖⲞⲨ ⲬⲎ ⲘⲘⲞϤ.
28020a007c	ⲈⲦⲀⲨⲚⲀⲨ ⲆⲈ ⲈⲠⲒⲤⲒⲞⲨ ⲀⲨⲢⲀϢⲒ ϦⲈⲚⲞⲨⲚⲒϢϮ ⲚⲢⲀϢⲒ ⲈⲘⲀϢⲰ.
